Date,Symbols,Close,High,Low,Open,Volume
2020-08-21,FB,267.01,270.49,266.42,268.69,15538615
2020-08-21,PFE,38.484,38.603,38.177,38.514,24410870
2020-08-20,AMZN,3297.37,3312.62,3238.0,3252.0,3332478
2020-08-20,GOOGL,1576.25,1580.17,1534.46,1539.97,1319131
2020-08-20,FB,269.01,269.63,261.46,261.5,20299688
2020-08-20,PFE,38.326,38.395,37.742,37.791,21046788
2020-08-19,AMZN,3260.48,3315.9,3256.0001,3303.01,4185137
2020-08-19,GOOGL,1544.61,1568.86,1540.0,1552.49,1523592
2020-08-19,FB,262.59,267.908,261.35,261.388,23291463
2020-08-19,PFE,37.871,38.213,37.732,38.088,15039271
2020-08-18,AMZN,3312.49,3320.0,3205.8187,3212.0,5345974
2020-08-18,GOOGL,1555.78,1557.37,1521.665,1526.12,1418850
2020-08-18,FB,262.34,265.15,259.26,260.95,18690383
2020-08-18,PFE,37.97,38.068000000000005,37.781,38.059,10396551
2020-08-17,AMZN,3182.41,3194.97,3154.1775,3173.12,2691237
2020-08-17,GOOGL,1516.24,1523.78,1505.0,1515.97,999934
2020-08-17,FB,261.16,264.0973,259.4,262.5,13351062
2020-08-17,PFE,37.96,38.019,37.559,37.653,16768642
2020-08-14,AMZN,3148.02,3178.2357,3120.0,3178.18,2751723
2020-08-14,GOOGL,1504.63,1519.785,1499.0,1513.61,1097059
2020-08-14,FB,261.24,262.65,258.6801,262.305,14792708
2020-08-14,PFE,37.673,37.999,37.544000000000004,37.623000000000005,12366159
2020-08-13,AMZN,3161.02,3217.5211,3155.0,3182.99,3149043
2020-08-13,GOOGL,1516.65,1536.9744,1508.21,1508.21,1119711
2020-08-13,FB,261.3,265.16,259.57,261.55,17373970
2020-08-13,PFE,37.781,37.791,37.494,37.681999999999995,14703728
2020-08-12,AMZN,3162.24,3174.385,3101.42,3108.0,3527229
2020-08-12,GOOGL,1507.24,1511.67,1485.0,1487.1245,1126560
2020-08-12,FB,259.89,263.8973,258.1125,258.97,21428329
2020-08-12,PFE,37.94,38.158,37.425,37.445,19137723
2020-08-11,AMZN,3080.67,3159.22,3073.0,3113.2,3718057
2020-08-11,GOOGL,1480.54,1510.44,1478.19,1494.0,1554853
2020-08-11,FB,256.13,265.915,255.13,260.185,28238283
2020-08-11,PFE,37.405,38.187,37.291,38.167,20442335
2020-08-10,AMZN,3148.16,3172.51,3101.52,3170.31,3167274
2020-08-10,GOOGL,1496.82,1507.15,1477.4901,1490.8,1027329
2020-08-10,FB,263.0,273.86,259.69,268.04,30248826
2020-08-10,PFE,37.999,38.266,37.871,38.158,19136535
2020-08-07,AMZN,3167.46,3240.81,3140.6726,3224.01,3936127
2020-08-07,GOOGL,1498.37,1520.09,1486.27,1509.04,1386294
2020-08-07,FB,268.44,278.89,263.43,264.08,72766364
2020-08-07,PFE,38.059,38.222,37.772,37.91,22139265
2020-08-06,AMZN,3225.0,3247.47,3165.43,3194.36,3940602
2020-08-06,GOOGL,1504.95,1506.27,1471.9,1476.15,1665261
2020-08-06,FB,265.28,266.6,248.665,249.04,45241611
2020-08-06,PFE,37.88,38.702,37.763000000000005,38.375,20054296
2020-08-05,AMZN,3205.03,3213.5859,3127.3,3143.77,3930025
2020-08-05,GOOGL,1479.09,1490.0,1471.215,1476.82,1457518
2020-08-05,FB,249.12,252.2698,247.77,250.19,13088361
2020-08-05,PFE,38.059,38.138000000000005,37.742,38.078,23584307
2020-08-04,AMZN,3138.83,3167.24,3101.21,3101.21,4694294
2020-08-04,GOOGL,1473.3,1493.11,1464.03,1486.71,1860609
2020-08-04,FB,249.83,252.8,247.43,251.56,17183533
2020-08-04,PFE,37.999,38.286,37.702,37.92,28227144
2020-08-03,AMZN,3111.89,3184.0,3104.0,3180.51,5074663
2020-08-03,GOOGL,1482.76,1497.73,1471.72,1491.0,2276085
2020-08-03,FB,251.96,255.4,250.33,252.65,23134103
2020-08-03,PFE,37.96,38.266,37.826,38.217,29749167
2020-07-31,AMZN,3164.68,3246.82,3151.0,3244.0,8083369
2020-07-31,GOOGL,1487.95,1505.02,1454.0,1497.05,4576382
2020-07-31,FB,253.67,255.85,249.0,255.82,53030037
2020-07-31,PFE,38.088,38.356,37.475,38.275999999999996,27320803
2020-07-30,AMZN,3051.88,3092.0,3005.0,3014.0,6128265
2020-07-30,GOOGL,1538.37,1540.89,1495.17,1497.97,1802121
2020-07-30,FB,234.5,234.893,229.0,230.22,20615306
2020-07-30,PFE,38.346,38.544000000000004,37.812,37.89,30935246
2020-07-29,AMZN,3033.53,3039.1592,2996.77,3030.99,2974060
2020-07-29,GOOGL,1523.51,1533.33,1503.01,1505.0,1133773
2020-07-29,FB,233.29,233.7,230.31,231.14,13588317
2020-07-29,PFE,38.484,38.67,37.69,38.524,35844597
2020-07-28,AMZN,3000.33,3077.0926,2995.76,3054.27,3126651
2020-07-28,GOOGL,1503.65,1526.01,1500.52,1525.0,1545534
2020-07-28,FB,230.12,234.96,229.83,234.63,14170112
2020-07-28,PFE,38.249,38.556999999999995,37.308,37.778,54583218
2020-07-27,AMZN,3055.21,3098.0,3015.77,3062.0,4170492
2020-07-27,GOOGL,1529.43,1537.56,1512.33,1513.26,1356185
2020-07-27,FB,233.5,234.95,230.83,231.46,13163083
2020-07-27,PFE,36.799,37.004,36.495,36.621,26752861
2020-07-24,AMZN,3008.91,3031.58,2888.0,2930.0,5632413
2020-07-24,GOOGL,1508.21,1515.4273,1487.59,1499.19,1495381
2020-07-24,FB,230.71,233.49,226.9,230.19,18325813
2020-07-24,PFE,36.915,37.396,36.588,37.279,32782980
2020-07-23,AMZN,2986.55,3098.2713,2970.0,3098.2713,5656906
2020-07-23,GOOGL,1516.75,1570.35,1508.59,1565.93,1695498
2020-07-23,FB,232.6,242.42,231.75,239.63,21771802
2020-07-23,PFE,37.650999999999996,38.641,37.425,38.455,57724680
2020-07-22,AMZN,3099.91,3149.9999,3065.26,3125.0,4104225
2020-07-22,GOOGL,1564.85,1566.98,1543.23,1555.71,1224100
2020-07-22,FB,239.87,241.9,238.12,240.26,15427885
2020-07-22,PFE,37.798,37.965,36.779,37.475,87793174
2020-07-21,AMZN,3138.29,3240.5758,3105.72,3232.49,6134965
2020-07-21,GOOGL,1555.92,1587.05,1552.62,1585.03,1377718
2020-07-21,FB,241.75,246.91,240.08,246.22,19409687
2020-07-21,PFE,35.965,36.346,35.799,36.21,22887698
2020-07-20,AMZN,3196.84,3201.3599,2994.0172,3000.2,7598176
2020-07-20,GOOGL,1563.84,1569.01,1502.6961,1515.0,1508277
2020-07-20,FB,245.42,246.05,235.635,240.06,20872223
2020-07-20,PFE,35.779,36.876999999999995,35.602,36.749,35633585
2020-07-17,AMZN,2961.97,3024.0,2948.45,3009.0,4761319
2020-07-17,GOOGL,1516.85,1523.43,1498.1,1516.91,1713231
2020-07-17,FB,242.03,244.16,237.86,241.0,18152413
2020-07-17,PFE,35.534,35.611999999999995,35.019,35.150999999999996,22616280
2020-07-16,AMZN,2999.9,3032.0,2918.23,2971.06,6394246
2020-07-16,GOOGL,1514.92,1515.91,1488.27,1501.5,1324227
2020-07-16,FB,240.93,241.76,236.3306,238.0,18880705
2020-07-16,PFE,34.896,34.936,34.559,34.896,17830355
